place_name,address_name,road_address_name,x,y
미스사이공 고덕푸르지오점,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.17005218232619,37.55753693312697
버거타임,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.17042126747087,37.5575940647314
가츠몽 상일역점,서울 강동구 고덕동 193,서울 강동구 상일로15길 34,127.169327166229,37.5582335442234
덮밥 장사장 상일동역점,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.16967848081,37.5574401631642
공차 상일동역점,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.16960921275917,37.557338450104474
김밥천국,서울 강동구 성내동 429-2,서울 강동구 양재대로 1339,127.135007863291,37.5259535335651
김밥천국 성내점,서울 강동구 성내동 196-3,서울 강동구 천호대로170길 16,127.13305019543,37.5345657194664
신김밥천국,서울 강동구 강일동 679,서울 강동구 아리수로 427,127.174548721797,37.564832040307
김밥천국 길동점,서울 강동구 길동 355-1,서울 강동구 천중로52길 15,127.144184983934,37.5401208276461
맛있는김밥천국,서울 강동구 성내동 407-6,서울 강동구 천호대로170길 85,127.13186403135,37.5317460175277
김밥천국 둔촌2호점,서울 강동구 둔촌동 545,서울 강동구 명일로 117,127.142770941972,37.5296132809453
김밥천국 상일점,서울 강동구 고덕동 210-4,서울 강동구 고덕로83길 6,127.168859038654,37.5574197140294
김밥천국 암사역점,서울 강동구 암사동 512-17,서울 강동구 올림픽로 769,127.127224645344,37.5499503914436
김밥천국,서울 강동구 길동 99-2,서울 강동구 명일로 244,127.147109362989,37.5404163525404
김밥천국 천호점,서울 강동구 천호동 45-7,서울 강동구 양재대로 1543,127.14186521964,37.5436050974179
김밥천국 길동점,서울 강동구 길동 247,서울 강동구 진황도로 123,127.139997559895,37.5348135719878
김밥천국,서울 송파구 풍납동 230-15,서울 송파구 올림픽로51길 41,127.116967357964,37.5332826002186
포차천국 천호점,서울 강동구 천호동 415-14,서울 강동구 올림픽로70길 49,127.126457454031,37.5392716775932
린칭,서울 강동구 고덕동 694,서울 강동구 고덕로 385,127.16851938124286,37.55736253553968
이디야커피 강동고덕교차로점,서울 강동구 강일동 727,서울 강동구 고덕로 421,127.17245790352816,37.55735955145578
라홍방마라탕 상일역점,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.16967848081,37.5574401631642
뚜레쥬르 고덕그라시움점,서울 강동구 고덕동 693,서울 강동구 고덕로 353,127.16434756747832,37.556782768510836
이마트24 강일푸르내점,서울 강동구 상일동 524,서울 강동구 상일로12길 99,127.172924142936,37.5568498066027
GS25 고덕아르테온점,서울 강동구 상일동 520,서울 강동구 고덕로 380,127.168124722065,37.556499943608
본도시락 상일점,서울 강동구 상일동 524,서울 강동구 상일로12길 99,127.172924142936,37.5568498066027
GS25 메가스퀘어점,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.16967848081,37.5574401631642
GS25 강일리버점,서울 강동구 강일동 701,서울 강동구 아리수로94길 72,127.177100375317,37.5621360662859
본죽&비빔밥cafe 상일동역점,서울 강동구 고덕동 694,서울 강동구 고덕로 385,127.16847883879645,37.55745179203536
뚜레쥬르 상일동역점,서울 강동구 상일동 520,서울 강동구 고덕로 390,127.16848352162026,37.5565156500944
만나숯불구이,서울 강동구 강일동 675-1,서울 강동구 아리수로93길 27,127.173939103954,37.5655176962835
믿음소망사랑,서울 강동구 강일동 695,서울 강동구 고덕로97길 20,127.17998854588436,37.55920166063525
사누끼 고덕본점,서울 강동구 상일동 521,서울 강동구 상일로 55,127.16952765451198,37.553310211257156
세븐일레븐 고덕리앤파크점,서울 강동구 고덕동 197-5,서울 강동구 상일로 137,127.17079618684,37.5592153160573
GS25 강일9단지점,서울 강동구 강일동 699,서울 강동구 고덕로97길 29,127.17931929149614,37.559520730528384
상희가정식백반,서울 강동구 상일동 282-2,서울 강동구 상일로5길 27,127.171537423829,37.5488095302279
홍성원조화로구이 상일동점,서울 강동구 상일동 228,서울 강동구 상일로 41,127.172628225273,37.5507324711058
다이소 상일동역점,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.16967848081,37.5574401631642
CU 암사상암로점,서울 강동구 암사동 491-11,서울 강동구 상암로 69,127.130993270417,37.5487893893747
CU 암사상암로점 ATM,서울 강동구 암사동 491-11,서울 강동구 상암로 69,127.13097511704089,37.54876237956402
맘마미아김밥,서울 강동구 상일동 340,서울 강동구 천호대로221길 32,127.172821671925,37.5482526430331
이디야커피 고덕강일2지구점,서울 강동구 강일동 70-15,서울 강동구 아리수로93나길 76,127.17597722897729,37.572564957615604
방이샤브샤브 칼국수 암사점,서울 강동구 암사동 462-1,서울 강동구 올림픽로 824,127.129400571033,37.5543953508268
방이샤브샤브칼국수 상일점,서울 강동구 상일동 268-8,서울 강동구 상일로 23,127.172909781254,37.5491643236251
뚜레쥬르 명일역메가타운점,서울 강동구 명일동 325-11,서울 강동구 구천면로 424,127.145734622964,37.5503182278714
뚜레쥬르 카페강동역점,서울 강동구 천호동 447-15,서울 강동구 천호대로 1087,127.13268418281788,37.536162703419784
뚜레쥬르 천호역점,서울 강동구 천호동 454-15,서울 강동구 천호대로 1027,127.12639439036255,37.5381085545755
뚜레쥬르 암사역점,서울 강동구 암사동 501-2,서울 강동구 올림픽로 778,127.12784331595684,37.55041283613423
뚜레쥬르 강동강일점,서울 강동구 강일동 76-10,서울 강동구 아리수로93나길 38,127.17420685832158,37.57210627443326
뚜레쥬르 길동중앙점,서울 강동구 길동 390-1,서울 강동구 양재대로 1478,127.14023726549047,37.537751448172244
뚜레쥬르 둔촌대우점,서울 강동구 둔촌동 622,서울 강동구 명일로 166,127.144833440895,37.5337409560284
뚜레쥬르 둔촌동역점,서울 강동구 성내동 428-5,서울 강동구 양재대로 1355,127.13575726077715,37.52746996086046
뚜레쥬르 길동신명점,서울 강동구 길동 79-4,서울 강동구 명일로 263-1,127.147371041305,37.5422937082337
뚜레쥬르 천호시장점,서울 강동구 천호동 393-43,서울 강동구 구천면로 250,127.131457517455,37.5425035077096
뚜레쥬르 상일세종점,서울 강동구 상일동 501,서울 강동구 상일로10길 36,127.17391777099279,37.55098375898921
뚜레쥬르 암사라인점,서울 강동구 암사동 442,서울 강동구 고덕로 53,127.131139889001,37.554966466028
뚜레쥬르 리버파크10단지점,서울 강동구 강일동 695,서울 강동구 고덕로97길 20,127.179931991312,37.5592161627708
CU 고덕2단지점,서울 강동구 강일동 717,서울 강동구 고덕로 427,127.17294564932791,37.55832020098784
CU ATM 고덕2단지점,서울 강동구 강일동 717,서울 강동구 고덕로 427,127.173181031297,37.5587973839032
이삭토스트 강동구청역점,서울 강동구 성내동 320-7,서울 강동구 천호옛길 14,127.12132698572889,37.53070584478134
이삭토스트 명일역점,서울 강동구 명일동 324-1,서울 강동구 양재대로 1626,127.14413383968319,37.550582383069056
이삭토스트 강동성심병원점,서울 강동구 천호동 155-5,서울 강동구 성안로 155,127.13488656600119,37.53712310694886
이삭토스트 상일동역점,서울 강동구 고덕동 210-5,서울 강동구 고덕로 391,127.168999987544,37.5571888573018
이삭토스트 강일리버파크점,서울 강동구 강일동 675-4,서울 강동구 아리수로93길 9,127.17443200097868,37.56525838349474
이삭토스트 암사역점,서울 강동구 암사동 502-19,서울 강동구 올림픽로 779,127.127513340959,37.550687997272
이삭토스트 송파풍납점,서울 송파구 풍납동 406-1,서울 송파구 토성로 65,127.117264908508,37.5289421839163
이삭토스트 광나루점,서울 광진구 광장동 258-37,서울 광진구 광장로 47,127.102505392987,37.5470155594757
GS25 상일세종점,서울 강동구 상일동 501,서울 강동구 상일로10길 36,127.17430783937859,37.55083091526964
메가MGC커피 천호초교사거리점,서울 강동구 천호동 293-16,서울 강동구 구천면로 305,127.13434419367,37.5469872321073
순대실록 상일동점,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.17014718257592,37.55750706338525
프랭크버거 상일동점,서울 강동구 상일동 521,서울 강동구 상일로 55,127.16985694950459,37.553297124049344
프랭크버거 고덕점,서울 강동구 명일동 48-17,서울 강동구 동남로 877,127.155801963945,37.5520154664602
프랭크버거 고덕비즈밸리점,서울 강동구 고덕동 343-2,서울 강동구 고덕비즈밸리로 26,127.160158046657,37.5653488875304
프랭크버거 명일점,서울 강동구 명일동 325-11,서울 강동구 구천면로 424,127.145664604299,37.5503921960782
프랭크버거 하남점,경기 하남시 풍산동 517,경기 하남시 미사강변대로34번길 72,127.18765113380003,37.55574161876653
프랭크버거 하남미사점,경기 하남시 망월동 1129-2,경기 하남시 미사강변동로84번길 29,127.1948477319086,37.5630865916962
마루마당김밥,서울 강동구 천호동 386-11,서울 강동구 구천면로33길 24,127.12966544069,37.5426640649351
차오차오 강일점,서울 강동구 강일동 679-1,서울 강동구 아리수로 423,127.174258778314,37.5647531810459
