place_name,address_name,road_address_name,x,y
GS25 명일센트럴점,서울 강동구 명일동 342-1,서울 강동구 양재대로134길 26,127.14500508548038,37.54759360741168
GS25 길동오네뜨점,서울 강동구 길동 339-1,서울 강동구 양재대로124길 32,127.14347834749233,37.54277062553988
CU 강동구민회관점,서울 강동구 천호동 43-61,서울 강동구 천중로43길 93,127.14189983353673,37.54515116946079
CU 천호햇살점,서울 강동구 천호동 28-28,서울 강동구 양재대로133길 41,127.141017886269,37.5479164887785
CU 강동해오름점,서울 강동구 명일동 352-4,서울 강동구 양재대로128길 13,127.143551607337,37.5449797852683
GS25 명일점,서울 강동구 명일동 315-13,서울 강동구 구천면로 427,127.14621020559,37.5504654035533
GS25 길동삼익점,서울 강동구 길동 48,서울 강동구 명일로 275,127.1476558981926,37.543294362061125
GS25 명일솔베뉴점,서울 강동구 명일동 312-94,서울 강동구 양재대로 1640,127.144273514148,37.5520057886012
세븐일레븐 명일삼익점,서울 강동구 명일동 350-4,서울 강동구 양재대로128길 47,127.145533147122,37.5444764045465
GS25 천호해리점,서울 강동구 천호동 231-32,서울 강동구 상암로27나길 4,127.137731082089,37.5475996129688
CU 강동오네뜨점,서울 강동구 길동 339-4,서울 강동구 천중로49길 32-17,127.144374691399,37.5422685776742
GS25 길동타운점,서울 강동구 길동 347-14,서울 강동구 양재대로 1518,127.141539219305,37.5411511675341
세븐일레븐 강동구민회관점,서울 강동구 천호동 35-29,서울 강동구 상암로 171,127.141421952279,37.5461608610008
GS25 천호타운점,서울 강동구 천호동 48-1,서울 강동구 천중로35길 66,127.138588954586,37.543991011477
세븐일레븐 강동천호점,서울 강동구 천호동 50-18,서울 강동구 천중로43길 51,127.141190339422,37.5433536266235
CU 강동센트럴점,서울 강동구 천호동 233-34,서울 강동구 구천면로 328,127.13608966578758,37.54852774219249
세븐일레븐 명일스타점,서울 강동구 명일동 312-140,서울 강동구 고덕로38길 64,127.142423767624,37.5517007941239
GS25 길동우림점,서울 강동구 길동 342-8,서울 강동구 양재대로124길 70,127.145859231593,37.5422523373354
CU 강동천중로점,서울 강동구 길동 359-1,서울 강동구 천중로50길 27,127.142708397333,37.5395387737562
세븐일레븐 길동명일로점,서울 강동구 길동 79-5,서울 강동구 명일로 263,127.147287059869,37.542167673167
CU 길동엘리트점,서울 강동구 길동 352-1,서울 강동구 천중로 226,127.145340077552,37.5406167632
세븐일레븐 길동본점,서울 강동구 길동 321-6,서울 강동구 양재대로122가길 46,127.14318536806252,37.54400084445539
CU 명일명성점,서울 강동구 명일동 250-14,서울 강동구 양재대로134길 77,127.1479139224392,37.547891833836026
CU 명일점,서울 강동구 명일동 312-35,서울 강동구 고덕로38길 47,127.142778331327,37.5524770257034
CU 천호아이엔지점,서울 강동구 천호동 49-22,서울 강동구 양재대로121길 38,127.139474034093,37.5428835428829
세븐일레븐 천호성덕점,서울 강동구 천호동 18-46,서울 강동구 구천면로64길 22,127.139794350643,37.5495974038697
CU 강동한솔점,서울 강동구 암사동 421-8,서울 강동구 암사길 102,127.13998776923,37.5513631302263
CU 명일상암로점,서울 강동구 명일동 249,서울 강동구 구천면로 490,127.152779955584,37.5490371134105
세븐일레븐 천호중앙본점,서울 강동구 천호동 51-1,서울 강동구 양재대로121길 7,127.141084253981,37.5423013867433
세븐일레븐 길동으뜸점,서울 강동구 길동 338-3,서울 강동구 천중로49길 26,127.143152300496,37.5420934700708
GS25 명일주공점,서울 강동구 명일동 257,서울 강동구 구천면로 476,127.1512509814626,37.54897060598189
CU 천호승리점,서울 강동구 천호동 21-210,서울 강동구 천중로35길 93,127.138726818366,37.5451116918843
세븐일레븐 암사구천면로점,서울 강동구 암사동 422-13,서울 강동구 구천면로 361,127.1388071136163,37.550578854124126
CU 천호빌리지점,서울 강동구 천호동 227-7,서울 강동구 상암로27길 12,127.137629843728,37.546698732772
GS25 천호후레쉬점,서울 강동구 천호동 112-5,서울 강동구 천중로35길 11,127.13728020014888,37.541773379953
세븐일레븐 명일점,서울 강동구 명일동 306-5,서울 강동구 양재대로 1655,127.14405688384028,37.55352062958528
CU 명일한영점,서울 강동구 명일동 213,서울 강동구 동남로65길 25,127.15457860089762,37.5476238098021
세븐일레븐 S굽은다리역점,서울 강동구 명일동 345-12,서울 강동구 양재대로 지하 1572,127.14296914789105,37.54573012263343
GS25 천호한신점,서울 강동구 천호동 238-3,서울 강동구 구천면로42길 8,127.13470179300589,37.54636513586169
세븐일레븐 S명일역점,서울 강동구 명일동 312,서울 강동구 양재대로 지하 1632,127.144071251656,37.5515780617706
CU 천호1동점,서울 강동구 천호동 225-16,서울 강동구 구천면로42길 47,127.13663860029867,37.54547993210378
GS25 암사팰리스점,서울 강동구 암사동 434-12,서울 강동구 암사길 83,127.138491227346,37.5523307643253
세븐일레븐 길동해그린점,서울 강동구 길동 97,서울 강동구 명일로19길 12,127.146089301919,37.5395418476098
CU 강동축복점,서울 강동구 길동 124,서울 강동구 명일로 220,127.146444420872,37.5382980285729
